"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",3.42225526157827,0.277518349679642,12.3316359639959,1.31811477968108e-28
"2","DxSchizo",-0.0305270187000768,0.0164997888325627,-1.85014602367704,0.0652627246673894
"3","Age",-0.000356018646115878,0.000566728994830411,-0.628199102857644,0.530345166885987
"4","SexM",-0.0172313472865167,0.0155418966811434,-1.10870298780348,0.268434676727933
"5","mitoRate",1.15637958298625,0.418261398114245,2.76472939697484,0.00604502129578927
"6","rRNA_rate",133.347626803531,379.672077288591,0.351217892439777,0.725668173301383
"7","totalAssignedGene",-1.13650994323258,0.630485950531323,-1.80259360620933,0.0724423761006503
"8","RIN",0.00845005501146302,0.0126637680809279,0.66726229961437,0.505110775315868
"9","snpPC1",0.0871523694702527,0.164439118890674,0.529997789201215,0.596500338848532
"10","snpPC2",-0.592100673423136,1.52355355224334,-0.388631349748948,0.697820912867745
"11","snpPC3",1.8749075604345,0.936835466916802,2.00132000403974,0.0462464822888563
"12","snpPC4",7.55723365332014,4.56060066856916,1.65706980341498,0.0985369868369324
"13","snpPC5",0.460841160603955,2.39878027412035,0.192114786658794,0.847780557804717
"14","PC1",0.0113756747058935,0.00139803178076628,8.13692139363127,1.04803863627519e-14
"15","PC2",-0.00611353838336197,0.00146299989839745,-4.17876883659299,3.83524952464102e-05
"16","PC3",-0.020107901488888,0.00181234438322738,-11.0949672010351,3.04368457297891e-24
"17","PC4",-0.00270466876030966,0.00238897500263929,-1.13214611175152,0.258465222123568
"18","PC5",-0.00761871023615688,0.00335529776179007,-2.2706510053797,0.0238675414305166
"19","PC6",0.000954145745752236,0.00348581713305627,0.273722260615452,0.784483950407778
"20","PC7",-0.00514758987557665,0.00326182399185724,-1.5781323236407,0.115575174969731
"21","PC8",-0.00151992154653115,0.00413547500142708,-0.367532519482441,0.713477578352346
"22","PC9",0.00601049184262323,0.00381461202495299,1.57564958200364,0.11614663636997
"23","PC10",0.0163264503179897,0.00537770228129154,3.03595280363282,0.00260525681675587
"24","PC11",-0.0062562601938172,0.00538947578182534,-1.16082907634818,0.246622147365491
"25","PC12",0.00490646794897393,0.00559912541232262,0.876291846968765,0.381563292903468
"26","PC13",-0.0300890072992526,0.00521325182428893,-5.77163895269085,1.9352690288365e-08
"27","PC14",-0.0167230370601486,0.00547259772323524,-3.05577678204756,0.00244386129604049
"28","PC15",-0.0211678989287642,0.00534373974340578,-3.96125184705816,9.29422608950333e-05
"29","PC16",-0.0105215869315469,0.00612266953465625,-1.71846395955088,0.0867301431796593
